Date,PriceArea,AvgPrice,MinPrice,MaxPrice,PriceVolatility,HourlyRecords,PriceRange,VolatilityCategory
2025-06-18,DK2,428.9352279166667,-1.34253,856.981665,286.05662800001545,24,858.324195,Very High
2025-06-19,DK1,443.1103966666667,-61.688411,1057.728762,404.7950165543208,24,1119.417173,Very High
2025-06-19,DK2,352.69124975,-23.273016,1057.728762,373.495403211304,24,1081.001778,Very High
2025-06-20,DK1,645.637040875,-1.49194,1471.575049,432.2706858541282,24,1473.0669890000001,Very High
2025-06-20,DK2,646.31773875,-3.879044,1488.732381,433.259506454333,24,1492.611425,Very High
2025-06-21,DK1,543.370765375,-196.2647,1233.088432,459.1249951042991,24,1429.353132,Very High
2025-06-21,DK2,541.6519305,-189.103395,1233.088432,459.0674938703297,24,1422.191827,Very High
2025-06-22,DK1,374.9400633333333,-112.193888,934.998768,392.8137278334416,24,1047.192656,Very High
2025-06-22,DK2,379.014922625,-73.478045,934.998768,383.49554322422455,24,1008.476813,Very High
2025-06-23,DK1,188.84656633333336,-37.222905,467.636048,183.94419938716587,24,504.85895300000004,High
2025-06-23,DK2,183.16491508333334,-5.66922,467.636048,176.95522719626132,24,473.305268,High
2025-06-24,DK1,181.03137791666666,-19.991996,691.290384,259.45522809065034,24,711.28238,Very High
2025-06-24,DK2,151.98206166666668,-18.947638,673.98388,237.08469914417608,24,692.931518,Very High
2025-06-25,DK1,494.1240525,0.0,1842.868038,498.19456127140165,24,1842.868038,Very High
2025-06-25,DK2,532.4332067916666,0.0,1842.942605,513.6562714630609,24,1842.942605,Very High
2025-06-26,DK1,681.6163400416666,365.485011,902.036994,157.18810602532778,24,536.5519830000001,High
2025-06-26,DK2,681.5945761666667,365.485011,1180.08602,187.33910551043027,24,814.601009,High
