Date,PriceArea,AvgPriceDKK,MinPriceDKK,MaxPriceDKK,StdPriceDKK,AvgPriceEUR,MinPriceEUR,MaxPriceEUR
2025-06-05,DK2,598.0042278750001,52.293899,1017.604989,270.3032990150324,80.16249920833333,7.01,136.410004
2025-06-05,NO2,512.74379425,264.080475,675.419353,108.18742903231977,68.73333345833333,35.400002,90.540001
2025-06-05,SE3,237.25900887499998,26.706442,464.080372,129.36286121225297,31.804582999999997,3.58,62.209999
2025-06-05,SE4,475.35103987499997,53.935077,927.563936,258.24228268619294,63.72083270833334,7.23,124.339996
2025-06-06,DE,362.7841680833333,-37.75,964.460022,334.31541445758876,48.63333325,-5.06,129.289993
2025-06-06,DK1,375.2874455833333,-9.921135,964.438703,323.77763814151655,50.310000083333335,-1.33,129.289993
2025-06-06,DK2,357.98451345833337,-6.937335,964.513372,315.3564375808295,47.990416708333335,-0.93,129.300003
2025-06-06,NO2,403.9225966666666,259.73979,536.561835,81.87553631762758,54.148749458333334,34.82,71.93
2025-06-06,SE3,154.03556749999998,1.268115,299.57352,113.43365435989713,20.64958341666667,0.17,40.16
2025-06-06,SE4,283.2309969583333,-4.77408,555.359753,219.69106989185715,37.96916641666667,-0.64,74.449997
2025-06-07,DE,445.45624895833333,-6.49,822.48999,290.84577706909533,59.71541658333334,-0.87,110.260002
2025-06-07,DK1,445.5745830833334,-3.43137,822.484485,290.63443489441244,59.73249991666666,-0.46,110.260002
2025-06-07,DK2,445.47512125000003,-3.43137,822.559043,290.46985611716025,59.719166333333334,-0.46,110.269997
2025-06-07,NO2,427.86138033333333,174.10473,599.07243,116.936588570897,57.35791679166667,23.34,80.309998
2025-06-07,SE3,92.42320712499999,-1.64109,398.859472,141.96603674935787,12.390000291666666,-0.22,53.470001
2025-06-07,SE4,189.55832933333332,-2.312445,801.97086,296.08443110871514,25.411666916666665,-0.31,107.510002
2025-06-08,DE,168.87333337500002,-395.850006,700.02002,346.7612388262394,22.637083291666666,-53.060001,93.839996
2025-06-08,DK1,242.63266962499998,-3.87894,699.99945,256.39612644753214,32.526666625,-0.52,93.839996
2025-06-08,DK2,244.67159854166667,-3.58056,692.912948,251.352222385694,32.79999979166667,-0.48,92.889999
2025-06-08,NO2,232.09923287499998,7.31031,563.19225,218.90266545613616,31.114583125,0.98,75.5
